Date,Clicks,Impressions,CTR,Position
2026-06-18,0,0,,
2026-06-19,0,0,,
2026-06-20,0,1,0%,1
2026-06-21,0,2,0%,7
2026-06-22,0,0,,
2026-06-23,0,0,,
2026-06-24,0,0,,
2026-06-25,0,0,,
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,0,1,0%,11
2026-06-29,0,0,,
2026-06-30,0,0,,
2026-07-01,3,3,100%,4.3
2026-07-02,1,4,25%,9.8
2026-07-03,0,6,0%,31
2026-07-04,0,9,0%,3.8
2026-07-05,0,14,0%,17.6
2026-07-06,0,11,0%,10.4
2026-07-07,0,17,0%,9.9
2026-07-08,0,38,0%,8.3
2026-07-09,0,52,0%,12
2026-07-10,1,78,1.28%,11
2026-07-11,0,66,0%,13.9
2026-07-12,1,69,1.45%,14.8
2026-07-13,0,78,0%,15.7
2026-07-14,1,93,1.08%,14.6
2026-07-15,1,100,1%,16.1
2026-07-16,0,77,0%,9.6
2026-07-17,5,58,8.62%,11.4
2026-07-18,0,65,0%,10.5
2026-07-19,0,65,0%,12.7
2026-07-20,1,59,1.69%,9
2026-07-21,2,90,2.22%,10.2
2026-07-22,2,88,2.27%,12.1
2026-07-23,0,96,0%,9.4
2026-07-24,1,105,0.95%,10.4
2026-07-25,0,74,0%,10.3
2026-07-26,1,67,1.49%,9.3
2026-07-27,0,97,0%,11
2026-07-28,1,95,1.05%,9.9
2026-07-29,0,87,0%,10.1
2026-07-30,3,114,2.63%,8.9
2026-07-31,2,96,2.08%,8.7
2026-08-01,1,78,1.28%,8.9
2026-08-02,2,120,1.67%,11.5
2026-08-03,1,128,0.78%,9.5
2026-08-04,0,140,0%,9
2026-08-05,3,149,2.01%,8.3
2026-08-06,2,165,1.21%,9.7
2026-08-07,13,199,6.53%,7.8
2026-08-08,12,167,7.19%,8
2026-08-09,8,166,4.82%,8.6
2026-08-10,7,237,2.95%,9.3
2026-08-11,7,259,2.7%,10
