Country,Clicks,Impressions,CTR,Position
Finland,80,3618,2.21%,9.46
United States,1,29,3.45%,22.76
Åland Islands,1,1,100%,1
Germany,0,14,0%,28.64
Denmark,0,9,0%,49.67
Norway,0,8,0%,12.38
Sweden,0,8,0%,22.12
Estonia,0,8,0%,25.25
India,0,7,0%,45
United Arab Emirates,0,5,0%,38.4
Vietnam,0,5,0%,42.8
Spain,0,4,0%,5
United Kingdom,0,4,0%,10
Bangladesh,0,4,0%,27.5
Russia,0,4,0%,38.5
Thailand,0,3,0%,2.33
Greece,0,3,0%,8.33
Canada,0,3,0%,33
Portugal,0,3,0%,39.33
Mexico,0,3,0%,42
Indonesia,0,3,0%,50.67
Luxembourg,0,2,0%,5
Slovenia,0,2,0%,8.5
France,0,2,0%,18.5
Egypt,0,2,0%,20
Bulgaria,0,2,0%,25.5
Austria,0,2,0%,26.5
Netherlands,0,2,0%,29
Poland,0,2,0%,31
Hungary,0,2,0%,35
Latvia,0,1,0%,6
Turkey,0,1,0%,6
Peru,0,1,0%,8
Slovakia,0,1,0%,8
Switzerland,0,1,0%,9
Taiwan,0,1,0%,9
Nepal,0,1,0%,21
Kenya,0,1,0%,30
Paraguay,0,1,0%,39
Australia,0,1,0%,41
Lithuania,0,1,0%,41
Algeria,0,1,0%,44
Philippines,0,1,0%,44
Japan,0,1,0%,49
Pakistan,0,1,0%,50
Ukraine,0,1,0%,53
South Africa,0,1,0%,53
Serbia,0,1,0%,54
Myanmar (Burma),0,1,0%,60
