Top pages,Clicks,Impressions,CTR,Position
https://www.ilmiöt.fi/darvo.html,58,407,14.25%,4.03
https://www.ilmiöt.fi/brandolinin-laki.html,4,169,2.37%,6.04
https://www.ilmiöt.fi/argumenttitulva.html,2,39,5.13%,3.38
https://www.ilmiöt.fi/ai-slop.html,1,279,0.36%,8.87
https://www.ilmiöt.fi/whataboutismi.html,1,230,0.43%,9.97
https://www.ilmiöt.fi/halo-efekti.html,1,134,0.75%,11.15
https://www.ilmiöt.fi/hanlonin-partaveitsi.html,1,104,0.96%,6.75
https://www.ilmiöt.fi/bkt-harha.html,1,64,1.56%,25.05
https://www.ilmiöt.fi/sunk-cost-harha.html,1,60,1.67%,14.83
https://www.ilmiöt.fi/goodhartin-laki.html,1,54,1.85%,4.83
https://www.ilmiöt.fi/parkinsonin-laki.html,1,49,2.04%,10.78
https://www.ilmiöt.fi/kafka-ilmio.html,1,33,3.03%,14.12
https://www.ilmiöt.fi/,1,17,5.88%,8.88
https://www.ilmiöt.fi/uutiskynnys.html,1,16,6.25%,8
https://www.ilmiöt.fi/manufactured-consent.html,1,14,7.14%,2.79
https://www.ilmiöt.fi/betteridgen-laki.html,1,13,7.69%,5.08
https://www.ilmiöt.fi/rautainen-laki.html,1,11,9.09%,8.91
https://www.ilmiöt.fi/initiointirituaalit.html,1,8,12.5%,12
https://www.ilmiöt.fi/shrinkflaatio.html,1,7,14.29%,3.57
https://www.ilmiöt.fi/hofstadterin-laki.html,1,5,20%,4
https://www.ilmiöt.fi/godwinin-laki.html,1,4,25%,4.25
https://www.ilmiöt.fi/hyvesignalointi.html,0,428,0%,8.37
https://www.ilmiöt.fi/rage-bait.html,0,255,0%,9.64
https://www.ilmiöt.fi/dunning-kruger.html,0,164,0%,10.35
https://www.ilmiöt.fi/doomscrolling.html,0,138,0%,9.01
https://www.ilmiöt.fi/kaarmeoljy.html,0,69,0%,8.55
https://www.ilmiöt.fi/occamin-partaveitsi.html,0,59,0%,11.9
https://www.ilmiöt.fi/gaslighting.html,0,52,0%,28.5
https://www.ilmiöt.fi/kuollut-internet.html,0,44,0%,11.11
https://www.ilmiöt.fi/viherpesu.html,0,43,0%,38.4
https://www.ilmiöt.fi/sivustakatsojan-efekti.html,0,41,0%,4.8
https://www.ilmiöt.fi/pump-and-dump.html,0,37,0%,13.08
https://www.ilmiöt.fi/ponzi-pyramidi.html,0,32,0%,27.81
https://www.ilmiöt.fi/suunniteltu-vanheneminen.html,0,29,0%,8.66
https://www.ilmiöt.fi/overton-ikkuna.html,0,29,0%,11.03
https://www.ilmiöt.fi/maalitolppien-siirtaminen.html,0,28,0%,4.89
https://www.ilmiöt.fi/honeypot-huijaus.html,0,28,0%,8.39
https://www.ilmiöt.fi/hajota-hallitse.html,0,28,0%,13.89
https://www.ilmiöt.fi/scope-creep.html,0,27,0%,20.04
https://www.ilmiöt.fi/simple-sabotage.html,0,27,0%,39.78
https://www.ilmiöt.fi/parasosiaalinen-suhde.html,0,26,0%,14.88
https://www.ilmiöt.fi/streisand-ilmio.html,0,23,0%,5.13
https://www.ilmiöt.fi/peterin-periaate.html,0,23,0%,9.74
https://www.ilmiöt.fi/catch-22.html,0,23,0%,12
https://www.ilmiöt.fi/hiljainen-irtisanoutuminen.html,0,22,0%,12.86
https://www.ilmiöt.fi/korkoa-korolle.html,0,22,0%,22.55
https://www.ilmiöt.fi/tekninen-velka.html,0,18,0%,18.44
https://www.ilmiöt.fi/fofo.html,0,17,0%,5.59
https://www.ilmiöt.fi/conways-laki.html,0,17,0%,9.18
https://www.ilmiöt.fi/klikkiotsikko.html,0,16,0%,9.44
https://www.ilmiöt.fi/haamutyopaikat.html,0,16,0%,10.19
https://www.ilmiöt.fi/bait-and-switch.html,0,15,0%,5.67
https://www.ilmiöt.fi/kaikukammio.html,0,15,0%,6.8
https://www.ilmiöt.fi/branditurvallisuus.html,0,15,0%,7.13
https://www.ilmiöt.fi/lowball-hinnoittelu.html,0,15,0%,7.13
https://www.ilmiöt.fi/pig-butchering.html,0,15,0%,14.6
https://www.ilmiöt.fi/strateginen-osaamattomuus.html,0,12,0%,7.83
https://www.ilmiöt.fi/poen-laki.html,0,11,0%,4.27
https://www.ilmiöt.fi/portinvartija-kulttuuri.html,0,11,0%,8.82
https://www.ilmiöt.fi/1-prosentin-saanto.html,0,11,0%,11.64
https://www.ilmiöt.fi/hiljainen-irtisanominen.html,0,10,0%,13.5
https://www.ilmiöt.fi/korkokierre.html,0,9,0%,52
https://www.ilmiöt.fi/brooksin-laki.html,0,8,0%,5.38
https://www.ilmiöt.fi/qr-koodihuijaus.html,0,8,0%,8.38
https://www.ilmiöt.fi/toimitusjohtajahuijaus.html,0,8,0%,11.88
https://www.ilmiöt.fi/keskiarvo-vs-mediaani.html,0,8,0%,23.5
https://www.ilmiöt.fi/omenoita-appelsiineja.html,0,7,0%,5
https://www.ilmiöt.fi/simpsonin-paradoksi.html,0,7,0%,7
https://www.ilmiöt.fi/ilmainen-naytetyo.html,0,7,0%,8
https://www.ilmiöt.fi/trollitehdas.html,0,7,0%,8.43
https://www.ilmiöt.fi/saantelijan-kaappaus.html,0,7,0%,10.57
https://www.ilmiöt.fi/kuollut-kissa.html,0,7,0%,11.29
https://www.ilmiöt.fi/urheilupesu.html,0,6,0%,4.33
https://www.ilmiöt.fi/inokulointiteoria.html,0,6,0%,5.67
https://www.ilmiöt.fi/jarjestelman-puolustelu.html,0,6,0%,61.67
https://www.ilmiöt.fi/konsensus-fetissi.html,0,6,0%,67.17
https://www.ilmiöt.fi/engagement-bait.html,0,5,0%,4.4
https://www.ilmiöt.fi/hintaankkurointi.html,0,5,0%,5
https://www.ilmiöt.fi/ennakkomaksuhuijaus.html,0,5,0%,5.8
https://www.ilmiöt.fi/astroturf.html,0,5,0%,7.8
https://www.ilmiöt.fi/kategoria-psykologia-ja-kognitio.html,0,5,0%,21
https://www.ilmiöt.fi/rug-pull.html,0,4,0%,7.75
https://www.ilmiöt.fi/tekoalypesu.html,0,3,0%,2.67
https://www.ilmiöt.fi/cherry-picking-aikavali.html,0,3,0%,3.67
https://www.ilmiöt.fi/blame-game.html,0,3,0%,4.67
https://www.ilmiöt.fi/valittajan-skimmaus.html,0,3,0%,10
https://www.ilmiöt.fi/yhdeksanyhdeksan.html,0,3,0%,12
https://www.ilmiöt.fi/sosiaalinen-todiste.html,0,3,0%,14.33
https://www.ilmiöt.fi/negatiivinen-korkoa.html,0,3,0%,21
https://www.ilmiöt.fi/backfire-effect.html,0,2,0%,1.5
https://www.ilmiöt.fi/tietoa.html,0,2,0%,3
https://www.ilmiöt.fi/starve-the-beast.html,0,2,0%,4
https://www.ilmiöt.fi/badger-game.html,0,2,0%,6.5
https://www.ilmiöt.fi/kategoria-byrokratia-ja-organisaatio.html,0,2,0%,7
https://www.ilmiöt.fi/valta-suojelee-valtaa.html,0,2,0%,18
https://www.ilmiöt.fi/hippo-efekti.html,0,2,0%,28
https://www.ilmiöt.fi/vastavuoroisuuden-ansa.html,0,2,0%,28
https://www.ilmiöt.fi/selviytymisharha.html,0,1,0%,1
https://www.ilmiöt.fi/paskuuttaminen.html,0,1,0%,2
https://www.ilmiöt.fi/bikeshedding.html,0,1,0%,4
https://www.ilmiöt.fi/suhteellinen-riski.html,0,1,0%,5
https://www.ilmiöt.fi/p-hakkerointi.html,0,1,0%,6
https://www.ilmiöt.fi/aanekas-vahemmisto.html,0,1,0%,7
https://www.ilmiöt.fi/rituaalinen-raportointi.html,0,1,0%,7
https://www.ilmiöt.fi/kategoria-pesut-ja-maineenhallinta.html,0,1,0%,9
https://www.ilmiöt.fi/kategoria-vallan-rakenteet.html,0,1,0%,9
https://www.ilmiöt.fi/tilausansa.html,0,1,0%,9
https://www.ilmiöt.fi/kategoria-projekti-ja-ohjelmistokehitys.html,0,1,0%,10
https://www.ilmiöt.fi/foot-in-the-door.html,0,1,0%,12
https://www.ilmiöt.fi/painostusclose.html,0,1,0%,12
https://www.ilmiöt.fi/tilastoilla-valehtelu.html,0,1,0%,15
https://www.ilmiöt.fi/pinkkipesu.html,0,1,0%,22
https://www.ilmiöt.fi/firehose-of-falsehood.html,0,1,0%,41
https://www.ilmiöt.fi/kuolonmarssi.html,0,1,0%,51
