Top queries,Clicks,Impressions,CTR,Position
darvo tekniikka,10,77,12.99%,6.47
darvo suomeksi,10,70,14.29%,3.8
darvo taktiikka,6,63,9.52%,3.71
brandolinin laki,3,132,2.27%,6.14
whataboutismi,1,161,0.62%,10.3
ai slop suomeksi,1,141,0.71%,7.82
halo efekti,1,51,1.96%,9.02
goodhartin laki,1,34,2.94%,4.21
darvo,1,7,14.29%,7.57
darwo,1,3,33.33%,1
hyvesignalointi,0,251,0%,7.42
rage bait suomeksi,0,82,0%,10.52
hanlonin partaveitsi,0,78,0%,6.58
slop suomeksi,0,63,0%,12.06
dunning kruger,0,62,0%,11.15
doomscrolling suomeksi,0,41,0%,7.68
käärmeöljy,0,34,0%,9.85
occamin partaveitsi,0,33,0%,13.52
ragebait,0,31,0%,10.55
parkinsonin laki,0,30,0%,13.13
sunk cost fallacy suomeksi,0,27,0%,9.41
hyvesignalointi tarkoittaa,0,25,0%,9.68
hyve signalointi,0,25,0%,10.28
gaslighting,0,25,0%,26.64
whataboutismi suomeksi,0,24,0%,9.21
viherpesu,0,24,0%,60.42
uponneet kustannukset,0,21,0%,26.48
doom scrolling suomeksi,0,19,0%,10.26
sivustakatsoja efekti,0,17,0%,5.29
virtue signaling suomeksi,0,15,0%,4.8
bränditurvallisuus,0,15,0%,7.13
dunning kruger ilmiö,0,15,0%,9.6
dead internet teoria,0,15,0%,13.8
mitä on käärmeöljy,0,14,0%,3.93
doomscrolling tarkoittaa,0,14,0%,9.43
tekninen velka,0,14,0%,18.21
streisand ilmiö,0,13,0%,4.77
planned obsolescence suomeksi,0,13,0%,8.38
honeypot,0,13,0%,9.85
haloefekti,0,13,0%,10.31
pyramidihuijaus,0,13,0%,49
gish gallop suomeksi,0,12,0%,2.75
maalitolppien siirtely,0,12,0%,6.17
peterin periaate,0,12,0%,8
korkoa korolle efekti,0,12,0%,31.92
bkt,0,12,0%,43.25
dunning-kruger ilmiö,0,11,0%,8.82
poen laki,0,10,0%,3.8
kaikukammio,0,9,0%,8.33
kuollut internet teoria,0,9,0%,11
signaaliliput viestiliput,0,9,0%,49.56
hyvesignalointi englanniksi,0,8,0%,6.5
occamin partaveitsi esimerkki,0,8,0%,11.88
sääntö,0,8,0%,14.12
parasosiaalinen,0,8,0%,18
bkt tarkoittaa,0,8,0%,21.88
scope,0,8,0%,32.38
mikä on uutiskynnys,0,7,0%,9.43
weaponized incompetence suomeksi,0,7,0%,10.14
ponzi huijaus,0,7,0%,23.14
ulkoistaminen kafka,0,7,0%,26.86
gaslighting suomeksi,0,7,0%,27.86
simpsonin paradoksi,0,6,0%,6.83
dunning-kruger,0,6,0%,7
streisandin ilmiö,0,6,0%,8.5
haamutyöpaikka,0,6,0%,10.83
bkt englanniksi,0,6,0%,32
simple sabotage field manual wiki,0,6,0%,46.67
overton ikkuna,0,5,0%,7.2
uutiskynnys,0,5,0%,9
toimitusjohtajahuijaus,0,5,0%,15.6
kafka asiantuntijat itä eurooppa,0,5,0%,16
mitä tarkoittaa bkt,0,5,0%,16.6
dunning,0,5,0%,30
halo-effekten,0,5,0%,59.2
näytteeksi,0,4,0%,7.5
ragebait suomeksi,0,4,0%,8.5
hiljainen irtisanominen,0,4,0%,10
whataboutismi tarkoittaa,0,4,0%,11
pumppa,0,4,0%,11.5
halo effekti,0,4,0%,12
suunniteltu vanheneminen,0,4,0%,12
hajota ja hallitse,0,4,0%,15
periaate,0,4,0%,21
scope suomeksi,0,4,0%,34.25
kaasuvalotus,0,4,0%,46.75
mikä on negatiivinen korko,0,4,0%,47.25
negatiivinen talletuskorko,0,4,0%,56
streisand-ilmiö,0,3,0%,5.67
parasosiaalinen tarkoittaa,0,3,0%,7.67
trollitehdas,0,3,0%,10
dunning suomeksi,0,3,0%,10.33
mitä tarkoittaa rage bait,0,3,0%,11
rage bait tarkoittaa,0,3,0%,11
ragebait tarkoittaa,0,3,0%,11.33
portinvartija,0,3,0%,14.33
irlanti bkt,0,3,0%,16
overtonin ikkuna,0,3,0%,22
catch 22,0,3,0%,27.67
tietovarastoarkkitehtuuri,0,3,0%,34.67
bruttokansantuote englanniksi,0,3,0%,38
sabotage,0,3,0%,40
doom scrollaus,0,3,0%,50
järjestelmällinen,0,3,0%,64
slop,0,2,0%,4
godwinin laki,0,2,0%,4.5
darvo wikipedia,0,2,0%,5.5
föfö,0,2,0%,6.5
engagement bait,0,2,0%,7
fofo,0,2,0%,8
ilmiöitä,0,2,0%,10
hyveposeeraus,0,2,0%,10.5
rage bait,0,2,0%,10.5
whataboutism suomeksi,0,2,0%,10.5
astroturfing,0,2,0%,11
uponneiden kustannusten harha,0,2,0%,12.5
yhdeksän,0,2,0%,12.5
raivosyötti,0,2,0%,15
mikä on overtonin ikkuna,0,2,0%,21
kafkamainen,0,2,0%,22
bktl,0,2,0%,25
dunning kruger efekti,0,2,0%,26.5
gaslighting tarkoittaa,0,2,0%,26.5
itseisarvo etiikka,0,2,0%,28.5
initiaatio,0,2,0%,32.5
parasosiaalinen suhde,0,2,0%,34
nimellinen bkt,0,2,0%,38
kaasuvalottaminen,0,2,0%,38.5
mikä on bkt,0,2,0%,38.5
simple sabotage field manual wikipedia,0,2,0%,47
halo effekten,0,2,0%,68
sulautettu järjestelmä,0,2,0%,88.5
selviytymisharha,0,1,0%,1
rage,0,1,0%,3
ylivertaisuusvinouma,0,1,0%,3
90 9,0,1,0%,4
doomscrolling,0,1,0%,4
simple sabotage field manual,0,1,0%,4
raig bait,0,1,0%,5
raivo,0,1,0%,5
scope creep suomeksi,0,1,0%,6
bait suomeksi,0,1,0%,7
irtisanoutuminen,0,1,0%,7
ragebaiti,0,1,0%,7
äänekästä,0,1,0%,7
honwypot,0,1,0%,8
divide et impera suomeksi,0,1,0%,9
catch-22 tilanne,0,1,0%,10
donning kruger,0,1,0%,10
dunning gruger,0,1,0%,10
dunning–kruger,0,1,0%,10
moraaliposeeraus,0,1,0%,10
dunning krueger,0,1,0%,11
mitä tarkoittaa divide et impera,0,1,0%,11
mitä tarkoittaa ragebait,0,1,0%,11
rage baita,0,1,0%,11
halo effect suomeksi,0,1,0%,12
myönnytys englanniksi,0,1,0%,12
okkamin partaveitsi,0,1,0%,12
sunning kruger,0,1,0%,12
quiet quitting ilmiö,0,1,0%,15
skimmaus,0,1,0%,15
ockhamin partaveitsi,0,1,0%,16
hajoita ja hallitse,0,1,0%,17
klikkiotsikko,0,1,0%,18
velka englanniksi,0,1,0%,18
skrollaaminen,0,1,0%,20
gaslighting määritelmä,0,1,0%,22
pinkkipesu,0,1,0%,22
velkaa englanniksi,0,1,0%,23
bait and switch,0,1,0%,24
kafka asiantuntija,0,1,0%,24
sammioita,0,1,0%,25
catch 22 suomeksi,0,1,0%,27
kuolleen kissan pomppu,0,1,0%,27
kafka ulkoistaminen,0,1,0%,28
velkoja englanniksi,0,1,0%,28
lowball,0,1,0%,29
bkt laskeminen,0,1,0%,30
yksipuolinen ystävyys,0,1,0%,31
itseisarvo tarkoittaa,0,1,0%,32
mitä on gaslighting,0,1,0%,32
gaslight suomeksi,0,1,0%,33
gaslit suomeksi,0,1,0%,38
ajattelun vinoumat,0,1,0%,40
kognitiivinen vinouma,0,1,0%,41
valaistusvyöhyke,0,1,0%,41
vastavuoroisuus,0,1,0%,46
miten irtisanoutua tyylikkäästi,0,1,0%,47
mikä on itseisarvo,0,1,0%,50
irlanti talous,0,1,0%,51
korkoa korolle englanniksi,0,1,0%,51
ulosmarssi,0,1,0%,51
kiittämätön,0,1,0%,53
negatiivinen korko,0,1,0%,55
tyrsky ylppö,0,1,0%,55
irlannin talous,0,1,0%,56
hump and dump,0,1,0%,60
halo effektus,0,1,0%,62
mitä on viherpesu,0,1,0%,62
käärmeenlumooja,0,1,0%,63
mikä on korkoa korolle ilmiö,0,1,0%,63
mediaani,0,1,0%,69
mikä on mediaani,0,1,0%,71
konsensuaalinen,0,1,0%,75
scope creep,0,1,0%,81
pump and dump bedeutung,0,1,0%,85
simple sabotage field manual 1944,0,1,0%,95
