sivusto_ryhma,kategoria,polku,haku_lauseke,pvm_avain,distinctcount visitor key,käydyt sivut,sivujen määrä,kävijää per sivulataus,Sum of klikit,Average of klikkiprosentti,Average of keskisijainti,Sum of gsc naytot,Sum of naytot,GSC näyttö vs näyttö suhde
ilmiöt.fi,,/,ilmiöitä,20260715,255,2,5,0.7348703170028819,0,0.00%,11,1,347,347
ilmiöt.fi,,/,ilmiöitä,20260717,255,2,5,0.7348703170028819,0,0.00%,9,1,347,347
ilmiöt.fi,,/,sammioita,20260715,255,2,5,0.7348703170028819,0,0.00%,25,1,347,347
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo,20260702,29,2,2,0.725,0,0.00%,26,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo,20260704,29,2,2,0.725,0,0.00%,5,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260702,29,2,2,0.725,0,0.00%,8,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260711,29,2,2,0.725,0,0.00%,1,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260713,29,2,2,0.725,0,0.00%,9,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260714,29,2,2,0.725,0,0.00%,8,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260716,29,2,2,0.725,0,0.00%,8,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260706,29,2,2,0.725,0,0.00%,6,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260708,29,2,2,0.725,0,0.00%,5,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260720,29,2,2,0.725,0,0.00%,3,1,40,40
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo tekniikka,20260709,29,2,2,0.725,0,0.00%,20,1,40,40
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260709,37,2,2,0.9487179487179487,0,0.00%,7,1,39,39
